id,nr_isos,tool,error_rates
15_2,15,isONform,2.6658562500000005
40_1,40,isONform,2.451871052631579
15_8, 15, RATTLE, 3.3413749999999998
45_2, 45, RATTLE, 2.8393966666666666
10_2,10,isONform,1.6888200000000002
30_6,30,isONform,1.9692033333333332
25_9, 25, RATTLE, 2.97154375
30_4,30,isONform,1.9105000000000003
15_4,15,isONform,3.0525937499999998
25_6,25,isONform,2.1285666666666665
35_9, 35, RATTLE, 3.9836727272727273
50_5, 50, RATTLE, 5.0333000000000006
10_9,10,isONform,2.0145899999999997
5_2,5,isONform,2.79474
25_9,25,isONform,1.9972083333333337
20_10, 20, RATTLE, 2.0449249999999997
20_7,20,isONform,2.2050150000000004
50_7,50,isONform,2.298527659574468
15_8,15,isONform,2.751066666666667
15_9, 15, RATTLE, 2.300815384615385
50_8,50,isONform,1.8598958333333335
25_8,25,isONform,2.5505240000000002
35_5, 35, RATTLE, 3.138995833333334
45_3, 45, RATTLE, 3.759668965517242
30_8, 30, RATTLE, 2.765691304347826
15_5,15,isONform,2.132633333333333
5_3, 5, RATTLE, 3.0959399999999997
40_2, 40, RATTLE, 3.288857142857143
50_7, 50, RATTLE, 4.95325294117647
40_6, 40, RATTLE, 4.156440740740741
20_4,20,isONform,2.4944949999999997
15_6,15,isONform,1.6747357142857144
50_2, 50, RATTLE, 3.69386
15_7, 15, RATTLE, 4.04746923076923
30_9, 30, RATTLE, 4.557815789473684
50_2,50,isONform,1.8658437499999998
45_9, 45, RATTLE, 2.864268000000001
30_10, 30, RATTLE, 2.2369913043478262
10_7,10,isONform,1.95455
35_7,35,isONform,2.4593857142857143
35_2, 35, RATTLE, 3.8109304347826085
50_10, 50, RATTLE, 3.213075
45_1,45,isONform,2.1378116279069763
15_2, 15, RATTLE, 2.4368642857142855
45_6,45,isONform,1.935914285714286
40_3, 40, RATTLE, 4.2182962962962955
25_4, 25, RATTLE, 4.449107142857143
50_9,50,isONform,2.1312375
5_7, 5, RATTLE, 2.52342
25_1, 25, RATTLE, 2.78154
5_4,5,isONform,2.1837000000000004
40_6,40,isONform,2.3190125000000004
5_2, 5, RATTLE, 2.87256
25_8, 25, RATTLE, 5.727461111111111
25_2, 25, RATTLE, 3.05788125
50_1,50,isONform,2.096630612244898
30_2, 30, RATTLE, 3.172424999999999
5_7,5,isONform,1.9767
20_1, 20, RATTLE, 6.3985875
45_8, 45, RATTLE, 4.581262962962962
50_3,50,isONform,1.9064163265306122
45_10, 45, RATTLE, 3.004169999999999
10_4, 10, RATTLE, 2.866457142857143
30_5,30,isONform,2.0337
30_6, 30, RATTLE, 3.390485714285714
5_9,5,isONform,1.0322600000000002
45_8,45,isONform,2.0029622222222216
25_10, 25, RATTLE, 3.193425
40_8, 40, RATTLE, 3.732565384615385
35_6, 35, RATTLE, 5.7398842105263155
20_3, 20, RATTLE, 3.364864285714286
40_5, 40, RATTLE, 4.665295454545454
35_10, 35, RATTLE, 3.6462250000000007
30_1, 30, RATTLE, 3.6565739130434793
15_3, 15, RATTLE, 2.0393923076923075
45_7,45,isONform,2.4258295454545453
40_7, 40, RATTLE, 4.8662928571428585
35_2,35,isONform,2.069455882352941
15_10, 15, RATTLE, 3.7995153846153844
25_7, 25, RATTLE, 2.361805
10_1,10,isONform,1.8231100000000002
35_3,35,isONform,2.2596885714285713
45_5,45,isONform,2.2962155555555555
40_4, 40, RATTLE, 3.5490814814814815
25_10,25,isONform,2.1751391304347822
50_4, 50, RATTLE, 3.0862413793103447
35_1, 35, RATTLE, 3.901488461538462
20_10,20,isONform,2.2418549999999997
10_3, 10, RATTLE, 2.8864375
5_5, 5, RATTLE, 1.9049599999999998
35_1,35,isONform,1.8672749999999994
30_1,30,isONform,2.1339333333333332
25_1,25,isONform,2.1601000000000004
30_7,30,isONform,2.3608800000000003
10_8, 10, RATTLE, 2.445
40_4,40,isONform,2.3387124999999997
45_4,45,isONform,1.8849534883720935
25_3,25,isONform,2.304346153846154
10_8,10,isONform,2.52351
5_10, 5, RATTLE, 1.9567800000000002
5_6,5,isONform,2.5121200000000004
40_10, 40, RATTLE, 4.772811538461538
35_4, 35, RATTLE, 3.708209090909092
50_5,50,isONform,2.142895918367347
40_5,40,isONform,2.028748648648649
25_4,25,isONform,2.1078083333333333
50_6, 50, RATTLE, 4.370340624999999
5_1, 5, RATTLE, 5.803925
10_9, 10, RATTLE, 2.4308750000000003
45_5, 45, RATTLE, 4.447503571428572
40_9,40,isONform,2.290507500000001
35_8,35,isONform,2.227505555555555
15_10,15,isONform,2.4057533333333327
50_3, 50, RATTLE, 3.6078156249999997
5_8, 5, RATTLE, 2.6985
10_1, 10, RATTLE, 13.093375
40_10,40,isONform,2.2255459459459463
20_9,20,isONform,2.1000947368421055
15_9,15,isONform,1.89658
40_8,40,isONform,2.1201394736842105
10_5, 10, RATTLE, 3.0138400000000005
45_10,45,isONform,1.8228159090909093
5_6, 5, RATTLE, 2.001025
45_1, 45, RATTLE, 4.38844074074074
35_6,35,isONform,1.8224852941176475
30_4, 30, RATTLE, 2.6627913043478264
40_7,40,isONform,2.268628205128205
10_2, 10, RATTLE, 1.8895000000000002
20_9, 20, RATTLE, 2.5123866666666665
40_9, 40, RATTLE, 3.6667
25_7,25,isONform,2.1696640000000005
15_3,15,isONform,1.9248466666666668
25_5,25,isONform,2.1733846153846157
25_3, 25, RATTLE, 3.5337823529411767
25_6, 25, RATTLE, 2.234063636363636
45_3,45,isONform,2.243131111111111
40_3,40,isONform,1.9758263157894738
50_1, 50, RATTLE, 3.6602678571428577
45_4, 45, RATTLE, 3.2784689655172405
35_8, 35, RATTLE, 4.063444444444444
20_1,20,isONform,2.67681
40_1, 40, RATTLE, 3.7358074074074086
40_2,40,isONform,2.3468121951219527
45_6, 45, RATTLE, 5.293378571428571
10_6,10,isONform,1.9515
5_9, 5, RATTLE, 1.7259
30_9,30,isONform,1.9367299999999998
5_4, 5, RATTLE, 2.98688
35_9,35,isONform,1.9820085714285713
10_4,10,isONform,2.3342300000000002
15_1, 15, RATTLE, 4.18511
5_1,5,isONform,1.77202
10_5,10,isONform,2.18208
30_5, 30, RATTLE, 6.10658888888889
45_2,45,isONform,2.0901068181818183
20_2, 20, RATTLE, 3.2714642857142864
15_1,15,isONform,2.4525533333333334
30_10,30,isONform,1.985946428571429
30_3,30,isONform,1.7872642857142857
20_3,20,isONform,1.72854
20_6, 20, RATTLE, 4.697360000000001
25_2,25,isONform,1.8795458333333332
10_10, 10, RATTLE, 3.7770857142857146
20_8,20,isONform,2.1226473684210525
5_5,5,isONform,1.63754
10_10,10,isONform,2.6811555555555557
30_8,30,isONform,1.8609533333333335
20_5, 20, RATTLE, 1.8659499999999998
35_5,35,isONform,2.036674285714286
50_6,50,isONform,2.017436
45_9,45,isONform,2.1394441860465117
5_3,5,isONform,1.50674
20_4, 20, RATTLE, 2.6123470588235302
5_8,5,isONform,2.50014
15_5, 15, RATTLE, 2.7184500000000003
15_6, 15, RATTLE, 3.232157142857143
30_7, 30, RATTLE, 5.312304545454545
15_7,15,isONform,2.5332733333333337
10_3,10,isONform,2.4331699999999996
30_3, 30, RATTLE, 3.3222117647058833
20_8, 20, RATTLE, 3.24205
50_8, 50, RATTLE, 3.427665625
50_4,50,isONform,1.9102124999999994
15_4, 15, RATTLE, 2.4649230769230766
50_10,50,isONform,2.0989413043478256
25_5, 25, RATTLE, 5.734205882352941
35_7, 35, RATTLE, 3.022645454545455
5_10,5,isONform,2.03412
10_6, 10, RATTLE, 2.0317700000000003
45_7, 45, RATTLE, 5.3406896551724135
50_9, 50, RATTLE, 3.430130303030303
35_10,35,isONform,2.298971875
20_6,20,isONform,2.0069772727272728
10_7, 10, RATTLE, 2.02375
20_7, 20, RATTLE, 3.6675062499999997
35_4,35,isONform,2.0341625
30_2,30,isONform,2.1534419354838708
20_5,20,isONform,1.8212700000000006
35_3, 35, RATTLE, 3.584830769230769
20_2,20,isONform,1.9608210526315786
